Customer_Name,Gender,Salary,Area,Sub_category,Brand,Price,Quantity,Order Date,Recency,History,Offer,Profit
Albina Glick,Female,64102.49,Surburban,Sports Cloths,York,1499,1,17-09-2015,9,5658.1,64,3.546
Alishia Sergi,Male,58819.93,Rural,Men's Footwear,Man,2199,1,19-10-2017,3,7562.8,83,9.9468
Solange Shinko,Female,56313.62,Urban,Men's Footwear,Man,2199,1,08-12-2016,4,1250.2,81,123.4737
Jose Stockham,Female,56314.91,Surburban,Men's Footwear,Man,2199,1,08-12-2016,1,21370.3,79,-147.963
Rozella Ostrosky,Female,56387.13,Urban,Men's Footwear,Man,2199,1,27-12-2015,4,7572.6,78,35.415
Valentine Gillian,Female,6256,Rural,Men's Footwear,Man,2199,1,27-12-2015,10,6669.6,82,-46.9764
Kati Rulapaugh,Female,12705,Surburban,Men's Footwear,Man,2199,1,27-12-2015,7,280.7,81,-15.147
Youlanda Schemmer,Male,50217.51,Urban,Men's Footwear,Man,2199,1,27-12-2015,11,14000,81,41.7564
Dyan Oldroyd,Male,42887,Rural,Men's Footwear,Man,2199,1,10-09-2017,3,26986.4,77,16.5564
Roxane Campain,Female,35928.59,Surburban,Men's Footwear,Man,2199,2,17-07-2016,9,9093.7,77,3.894
Lavera Perin,Male,35741.77,Surburban,Men's Footwear,Man,2199,1,19-09-2017,2,11618.6,77,9.5616
Erick Ferencz,Female,17493.39,Urban,Men's Footwear,Man,2199,1,11-03-2016,1,30897.3,81,19.7714
Fatima Saylors,Male,77508.97,Surburban,Men's Footwear,Man,2199,1,11-03-2016,10,1003.8,81,8.2062
Jina Briddick,Male,49544.08,Surburban,Men's Footwear,Man,2199,1,20-10-2014,2,23905.7,81,8.4784
Kanisha Waycott,Male,95527.21,Surburban,Men's Footwear,Man,2199,1,20-06-2016,1,6363.7,82,4.95
Emerson Bowley,Male,94343.77,Urban,Men's Footwear,Man,2199,2,20-06-2016,3,5180,81,6.104
Blair Malet,Male,66573.89,Surburban,Men's Footwear,Man,2199,1,18-04-2015,10,20824.3,81,17.9634
Brock Bolognia,Female,54185.65,Surburban,Men's Footwear,Man,2199,1,18-04-2015,3,3480.4,81,35.3346
Lorrie Nestle,Female,45297.09,Urban,Men's Footwear,Man,2199,1,18-04-2015,9,6278.3,81,2.9568
Sabra Uyetake,Female,55841.35,Urban,Men's Footwear,Man,2199,1,18-04-2015,7,4500.3,77,17.0981
Marjory Mastella,Male,54611.37,Urban,Men's Footwear,Man,2199,1,11-12-2016,9,852.6,81,6.2566
Karl Klonowski,Male,55873.18,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,11-12-2016,12,14014,47,298.6855
Tonette Wenner,Female,53584.15,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,17-06-2016,6,19360.6,47,52.14
Amber Monarrez,Female,32051.86,Rural,Men's Footwear,DISCOUNT_OUTL,569,1,17-06-2016,12,6447.7,47,15.552
Shenika Seewald,Male,59727.1,Surburban,Men's Footwear,DISCOUNT_OUTL,449,1,17-06-2016,3,8099.7,35,7.098
Delmy Ahle,Female,52634.73,Rural,Men's Footwear,DISCOUNT_OUTL,1499,1,17-06-2016,9,563.5,73,6.9888
Deeanna Juhas,Male,64601.53,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,17-06-2016,3,16811.9,47,3.3
Blondell Pugh,Male,58811.41,Urban,Men's Footwear,DISCOUNT_OUTL,1499,1,17-06-2016,10,15961.4,73,16.362
Jamal Vanausdal,Male,12948,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,17-06-2016,2,18736.9,47,0.84
Cecily Hollack,Male,24474.35,Surburban,Men's Footwear,DISCOUNT_OUTL,449,1,24-11-2015,6,32821.6,56,6.1512
Carmelina Lindall,Male,52493.7,Urban,Men's Footwear,DISCOUNT_OUTL,1625,1,24-11-2015,11,13563.9,75,9.3612
Maurine Yglesias,Male,52696.81,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,24-11-2015,9,25333.7,47,68.9631
Tawna Buvens,Male,72581.94,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,24-11-2015,5,1051.4,47,22.3328
Penney Weight,Male,59010.73,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,30-04-2015,1,29461.6,62,-15.2225
Elly Morocco,Female,33054.72,Urban,Men's Footwear,DISCOUNT_OUTL,799,1,05-12-2014,11,5054,60,111.3024
Ilene Eroman,Male,61348.43,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,05-12-2014,9,19667.2,62,62.988
Vallie Mondella,Male,65515.2,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,04-06-2016,10,12121.9,47,35.6636
Kallie Blackwood,Male,53631.39,Rural,Men's Footwear,DISCOUNT_OUTL,1499,1,18-09-2016,2,34244.7,73,1.731
Bobbye Rhym,Male,49597.49,Rural,Men's Footwear,DISCOUNT_OUTL,569,1,26-04-2015,2,1052.8,47,-114.3912
Micaela Rhymes,Male,48010.82,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,26-04-2015,7,9009.7,47,1.213
Moon Parlato,Male,74443.2,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,09-12-2017,1,16179.8,62,-1.9344
Laurel Reitler,Female,44919.2,Urban,Men's Footwear,DISCOUNT_OUTL,799,1,09-12-2017,4,16587.2,60,-5.8248
Delisa Crupi,Female,42690.45,Urban,Men's Footwear,DISCOUNT_OUTL,799,1,09-12-2017,7,19730.2,60,2.724
Viva Toelkes,Male,2992.5,Urban,Men's Footwear,DISCOUNT_OUTL,799,1,26-11-2014,7,23658.6,60,-14.475
Devorah Chickering,Male,36243.37,Surburban,Men's Footwear,DISCOUNT_OUTL,569,1,12-06-2016,7,3704.4,47,8.0352
Timothy Mulqueen,Male,10989.16,Surburban,Men's Footwear,DISCOUNT_OUTL,799,1,12-10-2014,2,9046.1,60,4.172
Arlette Honeywell,Female,38576.49,Surburban,Men's Footwear,DISCOUNT_OUTL,599,1,12-10-2014,5,2951.9,51,6.2031
Dominque Dickerson,Female,55615.96,Urban,Men's Footwear,DISCOUNT_OUTL,449,1,03-09-2015,2,12828.9,35,62.8075
Lettie Isenhower,Male,56346.3,Urban,Men's Footwear,DISCOUNT_OUTL,599,1,13-11-2017,1,18104.1,51,-48.9549
Myra Munns,Male,63135.12,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,28-05-2017,10,4055.8,62,33.2156
Stephaine Barfield,Male,48741.89,Surburban,Men's Footwear,DISCOUNT_OUTL,599,1,26-10-2017,2,4293.1,51,6.7966
Lai Gato,Female,56310.21,Urban,Men's Footwear,DISCOUNT_OUTL,1625,1,26-10-2017,6,2522.1,72,2.9568
Stephen Emigh,Male,65510.77,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,05-04-2016,3,11663.4,62,13.8572
Tyra Shields,Male,57174.68,Surburban,Men's Footwear,DISCOUNT_OUTL,1625,1,17-09-2016,8,9017.4,60,6.633
Tammara Wardrip,Female,57734.96,Urban,Men's Footwear,DISCOUNT_OUTL,599,1,17-09-2016,6,12686.8,51,8.2782
Danica Bruschke,Male,59726.83,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,31-01-2015,3,17628.1,44,6.2208
Wilda Giguere,Male,65984.88,Surburban,Men's Footwear,DISCOUNT_OUTL,1625,2,31-01-2015,2,132.3,60,16.5354
Elvera Benimadho,Female,67945.73,Surburban,Men's Footwear,DISCOUNT_OUTL,899,3,31-01-2015,3,5346.6,62,16.1504
Carma Vanheusen,Male,57606.75,Urban,Men's Footwear,DISCOUNT_OUTL,1625,1,06-11-2017,3,18364.5,60,-3.788
Malinda Hochard,Male,53453.5,Surburban,Men's Footwear,DISCOUNT_OUTL,599,1,09-11-2017,8,7350,51,40.5426
Natalie Fern,Male,58623.19,Urban,Men's Footwear,DISCOUNT_OUTL,569,1,17-06-2017,1,7303.8,47,17.9592
Lisha Centini,Male,58373.65,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,06-09-2016,1,2317,44,22.5852
Arlene Klusman,Male,61326.18,Urban,Men's Footwear,DISCOUNT_OUTL,899,2,29-08-2016,11,769.3,44,22.6184
Alease Buemi,Female,55053.57,Urban,Men's Footwear,DISCOUNT_OUTL,1625,1,29-08-2016,11,3502.8,60,-10.7973
Louisa Cronauer,Female,67464.69,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,29-08-2016,10,6717.2,44,-3.0396
Angella Cetta,Male,56011.53,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,01-12-2016,8,2895.2,44,11.7208
Cyndy Goldammer,Female,58428.83,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,13-11-2015,8,7624.4,44,-26.8758
Rosio Cork,Male,70427.04,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,13-11-2015,6,2421.3,44,-3.8385
Celeste Korando,Female,61581.23,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,13-11-2015,2,1868.3,44,-25.8174
Twana Felger,Male,52198.57,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,23-11-2017,11,23736.3,44,17.6016
Estrella Samu,Male,67139.94,Urban,Men's Footwear,DISCOUNT_OUTL,899,2,23-11-2017,12,4606,44,2.0994
Donte Kines,Female,56106.55,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,23-11-2017,2,3445.4,44,1.0738
Tiffiny Steffensmeier,Male,49485.79,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,15-10-2015,12,7616,44,67.992
Sue Kownacki,Male,13121.28,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,03-11-2016,9,1811.6,44,22.788
Jesusa Shin,Male,54664.96,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,03-11-2016,5,27425.3,44,13.3476
Rolland Francescon,Female,46985.09,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,25-08-2014,2,6356,44,14.5348
Pamella Schmierer,Male,54827.59,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,25-08-2014,4,3465,44,1.652
Glory Kulzer,Male,44807.44,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,25-08-2014,9,28905.1,44,7.4925
Shawna Palaspas,Male,55758.64,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,25-08-2014,11,11090.8,44,44.0316
Brandon Callaro,Male,9009.6,Urban,Men's Footwear,DISCOUNT_OUTL,899,1,02-03-2015,5,11153.8,44,165.3813
Scarlet Cartan,Male,54737.86,Surburban,Men's Footwear,DISCOUNT_OUTL,899,1,05-04-2015,3,1841.7,44,-115.7156
Oretha Menter,Female,13677.51,Rural,Men's Footwear,DISCOUNT_OUTL,1625,1,12-06-2016,1,16312.1,75,18.3456
Xuan Rochin,Female,4865,Rural,Men's Footwear,DISCOUNT_OUTL,899,1,12-06-2016,3,1725.5,44,63.4368
Lindsey Dilello,Male,51939.42,Rural,Men's Footwear,DISCOUNT_OUTL,1625,1,12-06-2016,3,7176.4,60,51.759
Herman Demesa,Male,76954.52,Urban,Men's Footwear,DISCOUNT_OUTL,1625,1,26-12-2014,1,28357.7,75,-8.5794
Rory Papasergi,Male,61736.58,Urban,Men's Footwear,DISCOUNT_OUTL,1625,1,20-09-2014,2,258.3,75,-407.682
Talia Riopelle,Male,58977.89,Rural,Men's Footwear,DISCOUNT_OUTL,899,1,05-11-2017,11,9087.4,44,-1.8308
Van Shire,Male,57559.01,Surburban,Men's Footwear,DISCOUNT_OUTL,1499,4,05-11-2017,1,13520.5,73,30.499
Lucina Lary,Male,58792.88,Urban,Men's Footwear,DISCOUNT_OUTL,799,2,06-11-2016,11,3885.7,60,-9.1602
Bok Isaacs,Female,61734.14,Surburban,Men's Footwear,DISCOUNT_OUTL,1625,2,06-11-2016,12,23300.9,77,26.2416
Rolande Spickerman,Female,40629.56,Surburban,Men's Footwear,DISCOUNT_OUTL,1625,2,02-02-2017,9,6182.4,60,-11.994
Howard Paulas,Male,22427.28,Surburban,Men's Footwear,DISCOUNT_OUTL,1625,2,02-02-2017,7,9592.1,60,29.364
Kimbery Madarang,Male,85151.45,Urban,Men's Footwear,DISCOUNT_OUTL,899,2,02-02-2017,11,647.5,44,6.9732
Thurman Manno,Male,49452,Urban,Men's Footwear,DISCOUNT_OUTL,899,2,13-10-2016,1,765.8,44,9.6192
Beatriz Corrington,Female,16333.08,Surburban,Men's Footwear,DISCOUNT_OUTL,449,1,13-10-2016,3,5711.3,56,3.456
Marti Maybury,Male,59803.42,Urban,Men's Footwear,adidas_Origina,1999,1,13-10-2016,2,11957.4,33,1.9698
Nieves Gotter,Male,54370.39,Surburban,Men's Footwear,adidas_Origina,1999,1,13-10-2016,8,995.4,50,26.6616
Bulah Padilla,Male,56435.3,Surburban,Men's Footwear,adidas_Origina,2699,1,18-09-2017,11,3137.4,50,5.1042
Audra Kohnert,Female,62488.99,Urban,Men's Footwear,adidas_Origina,1999,2,18-09-2017,9,24264.8,47,68.976
Daren Weirather,Male,51435.68,Urban,Men's Footwear,adidas_Origina,2699,1,22-12-2017,12,4767,33,218.2518
Fernanda Jillson,Female,71150.52,Surburban,Men's Footwear,adidas_Origina,2499,1,07-09-2015,3,6497.4,33,20.1579
Gearldine Gellinger,Female,51708.8,Urban,Men's Footwear,adidas_Origina,2499,1,22-10-2014,3,22416.8,33,12.9096
Chau Kitzman,Male,57147.82,Urban,Men's Footwear,adidas_Origina,1999,1,05-12-2016,7,8928.5,50,103.8015
Theola Frey,Female,54428.03,Rural,Men's Footwear,adidas_Origina,2299,2,05-12-2016,7,16857.4,33,5.9988
Cheryl Haroldson,Male,63174.03,Surburban,Men's Footwear,adidas_Origina,2299,1,05-12-2016,2,2132.9,33,585.552
Laticia Merced,Male,65708.27,Surburban,Men's Footwear,adidas_Origina,1999,1,05-12-2016,7,12506.2,33,80.6285
Carissa Batman,Male,68469.76,Surburban,Suits,adidas_Origina,2299,1,13-03-2016,7,11389.7,45,17.766
Ozell Shealy,Male,55317.87,Rural,Suits,adidas_Origina,1999,2,31-05-2015,10,1162,33,26.271
Arminda Parvis,Female,4644,Surburban,Suits,adidas_Origina,1999,1,31-05-2015,7,10418.1,33,48.5392
Reita Leto,Female,36338.02,Surburban,Suits,adidas_Origina,1999,1,31-05-2015,3,767.9,33,21.0288
Yolando Luczki,Female,62307.29,Rural,Suits,adidas_Origina,1999,1,28-05-2015,2,8880.9,53,1.7901
Gregoria Pawlowicz,Female,5789.7,Surburban,Suits,adidas_Origina,1999,1,20-11-2016,9,27764.8,53,6.8714
Carin Deleo,Female,37321.95,Surburban,Suits,adidas_Origina,1999,1,20-11-2016,1,32.2,33,236.2325
Larae Gudroe,Male,5690.4,Surburban,Suits,adidas_Origina,1999,1,16-11-2016,1,6968.5,40,13.348
Kerry Theodorov,Female,38353.84,Surburban,Suits,adidas_Origina,2499,1,08-09-2014,12,3672.2,48,2.7324
Novella Degroot,Male,58729.57,Rural,Suits,adidas_Origina,2699,1,08-09-2014,1,32414.9,33,6.8136
Jennifer Fallick,Female,72878.94,Rural,Suits,adidas_Origina,2999,1,08-09-2014,10,1556.1,33,8.9985
Eun Coody,Male,13166.88,Urban,Perfumes,adidas_Origina,2999,1,05-08-2014,1,30617.3,33,53.2608
Sylvia Cousey,Male,58419.95,Urban,Casual Cloths,adidas_Origina,1999,1,05-08-2014,4,18116.7,53,21.259
Nana Wrinkles,Female,59351.03,Rural,Casual Cloths,adidas_Origina,2499,1,14-09-2014,12,1013.6,52,-131.12
Layla Springe,Female,61041.56,Surburban,Casual Cloths,adidas_Origina,1999,1,14-09-2014,5,1948.1,33,6.552
Joesph Degonia,Male,61659.01,Urban,Casual Cloths,adidas_Origina,1999,1,21-04-2017,3,244.3,47,-243.16
Annabelle Boord,Female,56023.42,Surburban,Casual Cloths,adidas_Origina,2999,1,21-11-2015,10,8290.8,50,-11.3372
Nelida Sawchuk,Female,52496.89,Urban,Casual Cloths,adidas_Origina,1999,1,15-12-2015,2,13052.2,33,1.4104
Marguerita Hiatt,Male,53111.05,Surburban,Casual Cloths,adidas_Origina,2299,1,05-12-2014,4,3774.4,33,1.8612
Carmela Cookey,Male,52122.72,Surburban,Casual Cloths,adidas_Origina,2499,1,05-12-2014,2,2258.9,50,76.6395
Junita Brideau,Female,60350.92,Surburban,Casual Cloths,adidas_Origina,1999,1,19-11-2014,6,29967.7,50,131.0296
Claribel Varriano,Male,55116.87,Rural,Casual Cloths,adidas_Origina,1999,1,19-11-2014,9,3971.8,50,41.986
Benton Skursky,Male,61971.82,Surburban,Casual Cloths,adidas_Origina,2299,1,19-11-2014,5,2961.7,33,7.25
Hillary Skulski,Female,55901.21,Urban,Casual Cloths,adidas_Origina,1999,1,28-11-2016,3,2144.1,50,3.4368
Merilyn Bayless,Male,54437.34,Surburban,Casual Cloths,adidas_Origina,2299,1,26-08-2014,7,13148.1,33,22.984
Teri Ennaco,Female,53602.04,Surburban,Casual Cloths,adidas_Origina,2299,1,16-07-2016,7,21413,30,3.7224
Merlyn Lawler,Female,57351.08,Urban,Casual Cloths,adidas_Origina,2499,1,16-07-2016,9,8443.4,48,6.255
Georgene Montezuma,Female,55359.17,Urban,Casual Cloths,adidas_Origina,2299,1,12-10-2015,1,12485.2,57,112.392
Jettie Mconnell,Male,63029.28,Urban,Casual Cloths,adidas_Origina,1999,1,12-10-2015,4,5729.5,33,20.0928
Lemuel Latzke,Male,62697.57,Urban,Casual Cloths,adidas_Origina,2299,1,12-10-2015,12,2349.9,33,24.8832
Melodie Knipp,Female,50374.49,Surburban,Casual Cloths,adidas_Origina,2699,1,12-10-2015,1,2861.6,33,46.9764
Candida Corbley,Male,2583,Urban,Casual Cloths,adidas_Origina,2299,1,12-10-2015,10,6973.4,33,6.567
Karan Karpin,Female,65185.54,Surburban,Casual Cloths,adidas_Origina,1999,1,31-10-2015,7,7919.8,40,6.7116
Andra Scheyer,Female,51742.52,Surburban,Casual Cloths,adidas_Origina,2499,1,21-03-2014,10,2891,49,1.2038
Belen Strassner,Male,44362.4,Rural,Casual Cloths,Fresh_Fe,499,1,06-11-2017,5,8471.4,40,12.0276
Gracia Melnyk,Male,44716.8,Urban,Casual Cloths,Fresh_Fe,499,1,06-07-2017,10,17410.4,40,-2.2586
Jolanda Hanafan,Male,36456.67,Rural,Casual Cloths,Fresh_Fe,599,1,06-07-2017,4,17294.9,50,5.8203
Barrett Toyama,Male,58585.72,Surburban,Casual Cloths,Fresh_Fe,599,1,24-06-2017,7,11814.6,50,6.795
Helga Fredicks,Male,36644.97,Urban,Casual Cloths,Fresh_Fe,499,1,03-08-2014,10,12786.2,40,-161.875
Ashlyn Pinilla,Male,57498.69,Surburban,Casual Cloths,Fresh_Fe,499,1,03-08-2014,1,28309.4,40,0.2925
Fausto Agramonte,Male,54090.66,Rural,Casual Cloths,Fresh_Fe,499,1,17-12-2017,11,1467.2,40,-178.9668
Ronny Caiafa,Male,68530.85,Urban,Casual Cloths,Fresh_Fe,499,1,03-06-2017,1,2851.8,40,9.6712
Marge Limmel,Female,56326.09,Urban,Casual Cloths,Fresh_Fe,499,1,09-12-2017,8,22204.7,40,44.4768
Norah Waymire,Female,56341.95,Surburban,Casual Cloths,Fresh_Fe,499,1,01-12-2017,3,36808.1,40,5.8744
Aliza Baltimore,Male,56756.39,Surburban,Casual Cloths,Fresh_Fe,499,1,01-12-2017,2,9215.5,40,35.6346
Mozell Pelkowski,Male,56924.22,Rural,Casual Cloths,Fresh_Fe,499,1,01-12-2017,1,16474.5,40,7.4824
Viola Bitsuie,Male,60494.96,Surburban,Casual Cloths,Fresh_Fe,999,1,01-12-2017,8,9329.6,42,16.2099
Franklyn Emard,Female,34126.13,Urban,Casual Cloths,Fresh_Fe,999,1,01-12-2017,6,1445.5,42,3.6796
Willodean Konopacki,Male,39292.7,Surburban,Casual Cloths,Fresh_Fe,999,1,09-02-2015,8,2963.1,42,6.5
Beckie Silvestrini,Male,39014.06,Surburban,Casual Cloths,Fresh_Fe,999,1,02-01-2015,4,18414.9,50,8.88
Rebecka Gesick,Male,30387.84,Urban,Casual Cloths,Fresh_Fe,499,1,02-01-2015,8,31078.6,40,-244.323
Glen Bartolet,Male,60467.47,Surburban,Casual Cloths,Fresh_Fe,999,1,02-01-2015,1,19050.5,50,-950.4
Freeman Gochal,Female,63804.39,Urban,Casual Cloths,Fresh_Fe,499,1,02-01-2015,3,6895.7,40,4.4792
Vincent Meinerding,Male,54285.93,Urban,Casual Cloths,SayItLo,1049,1,28-10-2016,10,10736.6,76,26.0568
Glendora Sarbacher,Female,64302.1,Rural,Casual Cloths,SayItLo,899,1,24-12-2015,1,14004.2,63,1.8148
Cristy Lother,Female,57883.67,Urban,Casual Cloths,SayItLo,899,1,24-12-2015,4,7393.4,63,-13.8432
Nicolette Brossart,Male,30540.11,Surburban,Casual Cloths,SayItLo,1049,1,24-12-2015,7,2722.3,76,19.0848
Tracey Modzelewski,Female,60434.43,Surburban,Casual Cloths,SayItLo,1149,1,24-12-2015,6,6890.1,78,-383.9904
Virgina Tegarden,Female,56057.89,Urban,Casual Cloths,SayItLo,1049,1,24-12-2015,1,526.4,76,2.7168
Tiera Frankel,Male,57041.25,Urban,Casual Cloths,SayItLo,899,1,09-08-2015,2,8746.5,63,0.968
Alaine Bergesen,Male,54727,Rural,Casual Cloths,SayItLo,799,1,09-08-2015,5,1057,63,136.939
Earleen Mai,Female,59559.16,Surburban,Casual Cloths,SayItLo,1049,1,09-08-2015,5,363.3,76,0.2198
Leonida Gobern,Female,58369.78,Surburban,Casual Cloths,SayItLo,1049,1,28-02-2015,8,14173.6,76,-28.2744
Ressie Auffrey,Male,41746.57,Surburban,Casual Cloths,SayItLo,799,1,28-02-2015,5,5236,62,43.8408
Justine Mugnolo,Female,57264.76,Urban,Casual Cloths,SayItLo,999,1,13-09-2014,6,14814.8,65,-12.432
Eladia Saulter,Male,64241.62,Urban,Casual Cloths,SayItLo,799,1,07-04-2017,2,17034.5,62,-102.048
Chaya Malvin,Male,54643.01,Surburban,Casual Cloths,SayItLo,999,1,07-04-2017,8,5545.4,65,-248.2458
Gwenn Suffield,Male,53860.84,Urban,Casual Cloths,SayItLo,1099,1,07-04-2017,3,39391.8,68,-3.552
Salena Karpel,Male,30520.87,Urban,Casual Cloths,SayItLo,999,1,07-04-2017,10,16956.1,65,0
Yoko Fishburne,Male,57167.59,Rural,Casual Cloths,SayItLo,799,1,07-04-2017,4,18805.5,62,-7.7247
Taryn Moyd,Male,54867.21,Surburban,Casual Cloths,SayItLo,1049,1,12-11-2017,2,2580.2,76,4.752
Katina Polidori,Male,52036.82,Urban,Casual Cloths,SayItLo,1049,1,04-06-2016,8,9970.8,76,9.396
Rickie Plumer,Male,58718.45,Rural,Casual Cloths,SayItLo,1049,1,04-06-2016,7,3328.5,76,-356.728
Alex Loader,Male,31125.82,Surburban,Casual Cloths,SayItLo,799,1,04-06-2016,10,10703,50,-4.6752
Lashon Vizarro,Female,60489.17,Surburban,Casual Cloths,SayItLo,1049,1,04-06-2016,1,2378.6,76,11.1944
Ceola Setter,Male,36904.28,Surburban,Casual Cloths,SayItLo,999,1,04-06-2016,9,2755.9,65,-2.8308
My Rantanen,Female,1874.25,Urban,Casual Cloths,SayItLo,2299,1,04-06-2016,5,12292.7,63,1.2038
Lorrine Worlds,Male,52532.12,Urban,Casual Cloths,SayItLo,1099,1,01-06-2014,10,18939.9,63,580.5394
Peggie Sturiale,Male,55141.41,Urban,Casual Cloths,SayItLo,1049,1,01-06-2014,11,5206.6,76,41.68
Marvel Raymo,Female,52560.86,Surburban,Casual Cloths,SayItLo,1049,1,01-06-2014,5,4339.3,76,23.94
Daron Dinos,Male,56988.93,Urban,Casual Cloths,SayItLo,1049,1,01-06-2014,5,3209.5,76,496.0725
An Fritz,Male,65379.43,Surburban,Casual Cloths,SayItLo,899,1,01-06-2014,4,8794.1,63,12.4416
Portia Stimmel,Male,58493.63,Urban,Casual Cloths,SayItLo,1049,1,10-12-2016,11,3.5,76,28.1372
Rhea Aredondo,Male,17406.59,Urban,Casual Cloths,SayItLo,999,1,11-09-2016,10,8859.2,65,3.5767
Benedict Sama,Male,67790.68,Surburban,Casual Cloths,SayItLo,899,2,11-09-2016,1,606.9,63,636.0003
Alyce Arias,Male,66113.49,Rural,Casual Cloths,SayItLo,799,1,10-12-2016,4,8960,62,22.5624
